country,year,sex,age,suicides_no,population
Brazil,1995,female,15-24 years,347.0,15683286.0
Brazil,1995,female,25-34 years,318.0,13683822.0
Brazil,1995,female,35-54 years,450.0,17368864.0
Brazil,1995,female,5-14 years,36.0,17734168.0
Brazil,1995,female,55-74 years,208.0,7566176.0
Brazil,1995,female,75+ years,42.0,1349701.0
Brazil,1995,male,15-24 years,1084.0,15852481.0
Brazil,1995,male,25-34 years,1318.0,13377021.0
Brazil,1995,male,35-54 years,1703.0,16593682.0
Brazil,1995,male,5-14 years,38.0,18309246.0
Brazil,1995,male,55-74 years,812.0,6459129.0
Brazil,1995,male,75+ years,180.0,806015.0
Brazil,1996,female,15-24 years,347.0,15978838.0
Brazil,1996,female,25-34 years,299.0,13851001.0
Brazil,1996,female,35-54 years,448.0,17981388.0
Brazil,1996,female,5-14 years,50.0,17684630.0
Brazil,1996,female,55-74 years,202.0,7790591.0
Brazil,1996,female,75+ years,52.0,1426991.0
Brazil,1996,male,15-24 years,1164.0,16172705.0
Brazil,1996,male,25-34 years,1265.0,13533249.0
Brazil,1996,male,35-54 years,1827.0,17150145.0
Brazil,1996,male,5-14 years,70.0,18270623.0
Brazil,1996,male,55-74 years,798.0,6651122.0
Brazil,1996,male,75+ years,176.0,861847.0
Brazil,1997,female,15-24 years,327.0,16301577.0
Brazil,1997,female,25-34 years,282.0,13987171.0
Brazil,1997,female,35-54 years,507.0,18634217.0
Brazil,1997,female,5-14 years,55.0,17600190.0
Brazil,1997,female,55-74 years,202.0,8017560.0
Brazil,1997,female,75+ years,44.0,1503183.0
Brazil,1997,male,15-24 years,1102.0,16523208.0
Brazil,1997,male,25-34 years,1349.0,13664422.0
Brazil,1997,male,35-54 years,1856.0,17744763.0
Brazil,1997,male,5-14 years,53.0,18197954.0
Brazil,1997,male,55-74 years,895.0,6842729.0
Brazil,1997,male,75+ years,219.0,915653.0
Brazil,1998,female,15-24 years,364.0,16629063.0
Brazil,1998,female,25-34 years,324.0,14109075.0
Brazil,1998,female,35-54 years,458.0,19311067.0
Brazil,1998,female,5-14 years,47.0,17496449.0
Brazil,1998,female,55-74 years,197.0,8252694.0
Brazil,1998,female,75+ years,55.0,1580747.0
Brazil,1998,male,15-24 years,1089.0,16881408.0
Brazil,1998,male,25-34 years,1288.0,13787276.0
Brazil,1998,male,35-54 years,1902.0,18361729.0
Brazil,1998,male,5-14 years,50.0,18105835.0
Brazil,1998,male,55-74 years,931.0,7040369.0
Brazil,1998,male,75+ years,217.0,968599.0
Brazil,1999,female,15-24 years,281.0,16927682.0
Brazil,1999,female,25-34 years,259.0,14242229.0
Brazil,1999,female,35-54 years,426.0,19987055.0
Brazil,1999,female,5-14 years,37.0,17392648.0
Brazil,1999,female,55-74 years,188.0,8504649.0
Brazil,1999,female,75+ years,35.0,1662705.0
Brazil,1999,male,15-24 years,1103.0,17212692.0
