country,year,sex,age,suicides_no,population
Thailand,1995,female,15-24 years,362.0,5852275.0
Thailand,1995,female,25-34 years,287.0,5230422.0
Thailand,1995,female,35-54 years,309.0,7081475.0
Thailand,1995,female,5-14 years,42.0,5395683.0
Thailand,1995,female,55-74 years,120.0,3284191.0
Thailand,1995,female,75+ years,25.0,597697.0
Thailand,1995,male,15-24 years,847.0,5996449.0
Thailand,1995,male,25-34 years,931.0,5235459.0
Thailand,1995,male,35-54 years,883.0,6725727.0
Thailand,1995,male,5-14 years,56.0,5592494.0
Thailand,1995,male,55-74 years,334.0,2948209.0
Thailand,1995,male,75+ years,49.0,425976.0
Thailand,1996,female,15-24 years,341.0,5739023.0
Thailand,1996,female,25-34 years,321.0,5387825.0
Thailand,1996,female,35-54 years,335.0,7377294.0
Thailand,1996,female,5-14 years,0.0,5304296.0
Thailand,1996,female,55-74 years,127.0,3384108.0
Thailand,1996,female,75+ years,19.0,623543.0
Thailand,1996,male,15-24 years,988.0,5872928.0
Thailand,1996,male,25-34 years,1040.0,5350491.0
Thailand,1996,male,35-54 years,880.0,7038730.0
Thailand,1996,male,5-14 years,0.0,5508805.0
Thailand,1996,male,55-74 years,349.0,3033530.0
Thailand,1996,male,75+ years,43.0,450130.0
Thailand,1997,female,15-24 years,268.0,5622677.0
Thailand,1997,female,25-34 years,237.0,5526117.0
Thailand,1997,female,35-54 years,318.0,7717870.0
Thailand,1997,female,5-14 years,0.0,5240629.0
Thailand,1997,female,55-74 years,117.0,3488033.0
Thailand,1997,female,75+ years,14.0,650823.0
Thailand,1997,male,15-24 years,873.0,5753768.0
Thailand,1997,male,25-34 years,1018.0,5434836.0
Thailand,1997,male,35-54 years,946.0,7383107.0
Thailand,1997,male,5-14 years,0.0,5446950.0
Thailand,1997,male,55-74 years,306.0,3119739.0
Thailand,1997,male,75+ years,53.0,474539.0
Thailand,1998,female,15-24 years,304.0,5512158.0
Thailand,1998,female,25-34 years,286.0,5630176.0
Thailand,1998,female,35-54 years,343.0,8095997.0
Thailand,1998,female,5-14 years,26.0,5192621.0
Thailand,1998,female,55-74 years,142.0,3595775.0
Thailand,1998,female,75+ years,20.0,680581.0
Thailand,1998,male,15-24 years,990.0,5647183.0
Thailand,1998,male,25-34 years,1222.0,5480327.0
Thailand,1998,male,35-54 years,1127.0,7751471.0
Thailand,1998,male,5-14 years,38.0,5397792.0
Thailand,1998,male,55-74 years,419.0,3207588.0
Thailand,1998,male,75+ years,46.0,500114.0
Thailand,1999,female,15-24 years,283.0,5409200.0
Thailand,1999,female,25-34 years,324.0,5683342.0
Thailand,1999,female,35-54 years,380.0,8500029.0
Thailand,1999,female,5-14 years,19.0,5148247.0
Thailand,1999,female,55-74 years,174.0,3706771.0
Thailand,1999,female,75+ years,28.0,713838.0
Thailand,1999,male,15-24 years,983.0,5554216.0
Thailand,1999,male,25-34 years,1272.0,5479479.0
Thailand,1999,male,35-54 years,1234.0,8133153.0
Thailand,1999,male,5-14 years,38.0,5352827.0
Thailand,1999,male,55-74 years,469.0,3298897.0
Thailand,1999,male,75+ years,72.0,527861.0
Thailand,2000,female,15-24 years,248.0,5314448.0
Thailand,2000,female,25-34 years,261.0,5675628.0
Thailand,2000,female,35-54 years,444.0,8919470.0
Thailand,2000,female,5-14 years,0.0,5098737.0
Thailand,2000,female,55-74 years,153.0,3820685.0
Thailand,2000,female,75+ years,43.0,751074.0
Thailand,2000,male,15-24 years,961.0,5473800.0
Thailand,2000,male,25-34 years,1284.0,5430800.0
Thailand,2000,male,35-54 years,1263.0,8517696.0
Thailand,2000,male,5-14 years,0.0,5305337.0
Thailand,2000,male,55-74 years,454.0,3396287.0
Thailand,2000,male,75+ years,71.0,558173.0
Thailand,2002,female,15-24 years,199.0,5194271.0
Thailand,2002,female,25-34 years,287.0,5812384.0
Thailand,2002,female,35-54 years,456.0,8981392.0
Thailand,2002,female,5-14 years,22.0,4782128.0
Thailand,2002,female,55-74 years,183.0,3816883.0
